date,city,weather_condition,temperature_celsius,rainfall_mm,traffic_level,traffic_delay_factor,special_event,delivery_impact_score
2025-08-26,Mumbai,clear,36,0,low,1.0,,1.0
2025-08-26,Delhi,light_rain,42,20,low,1.0,,1.2
2025-08-26,Bangalore,cloudy,45,0,low,1.0,,1.1
2025-08-26,Chennai,light_rain,36,19,severe,2.0,,2.0
2025-08-26,Pune,light_rain,42,28,medium,1.2,sports_event,1.7
2025-08-26,Hyderabad,fog,40,0,medium,1.2,festival,2.1
2025-08-26,Kolkata,extreme_heat,16,0,medium,1.2,,1.4
2025-08-27,Mumbai,extreme_heat,41,0,medium,1.2,,1.4
2025-08-27,Delhi,heavy_rain,45,41,high,1.5,,1.9
2025-08-27,Bangalore,clear,17,0,high,1.5,,1.4
2025-08-27,Chennai,clear,35,0,low,1.0,,1.0
2025-08-27,Pune,heavy_rain,41,21,medium,1.2,exhibition,1.8
2025-08-27,Hyderabad,clear,16,0,low,1.0,,1.0
2025-08-27,Kolkata,cloudy,27,0,severe,2.0,,1.9
2025-08-28,Mumbai,heavy_rain,28,11,low,1.0,,1.5
2025-08-28,Delhi,light_rain,23,17,medium,1.2,,1.4
2025-08-28,Bangalore,heavy_rain,34,15,medium,1.2,political_rally,2.2
2025-08-28,Chennai,storm,43,0,high,1.5,,2.2
2025-08-28,Pune,fog,27,0,severe,2.0,road_construction,2.5
2025-08-28,Hyderabad,cloudy,43,0,severe,2.0,,1.9
2025-08-28,Kolkata,extreme_heat,40,0,medium,1.2,,1.4
2025-08-29,Mumbai,fog,40,0,low,1.0,,1.3
2025-08-29,Delhi,storm,40,0,high,1.5,,2.2
2025-08-29,Bangalore,heavy_rain,31,20,high,1.5,,1.9
2025-08-29,Chennai,heavy_rain,25,38,high,1.5,,1.9
2025-08-29,Pune,cloudy,39,0,low,1.0,,1.1
2025-08-29,Hyderabad,light_rain,30,33,low,1.0,,1.2
2025-08-29,Kolkata,light_rain,18,15,medium,1.2,,1.4
2025-08-30,Mumbai,storm,41,0,medium,1.2,,2.0
2025-08-30,Delhi,extreme_heat,45,0,low,1.0,,1.2
2025-08-30,Bangalore,cloudy,41,0,severe,2.0,,1.9
2025-08-30,Chennai,extreme_heat,33,0,medium,1.2,,1.4
2025-08-30,Pune,light_rain,15,45,high,1.5,,1.6
2025-08-30,Hyderabad,storm,33,0,high,1.5,,2.2
2025-08-30,Kolkata,cloudy,40,0,medium,1.2,,1.3
2025-08-31,Mumbai,heavy_rain,16,5,high,1.5,,1.9
2025-08-31,Delhi,clear,15,0,medium,1.2,,1.2
2025-08-31,Bangalore,fog,21,0,severe,2.0,political_rally,2.6
2025-08-31,Chennai,extreme_heat,20,0,medium,1.2,,1.4
2025-08-31,Pune,extreme_heat,33,0,high,1.5,strike,2.5
2025-08-31,Hyderabad,storm,42,0,medium,1.2,,2.0
2025-08-31,Kolkata,fog,26,0,high,1.5,,1.7
2025-09-01,Mumbai,storm,25,0,severe,2.0,,2.6
2025-09-01,Delhi,light_rain,20,46,high,1.5,,1.6
2025-09-01,Bangalore,heavy_rain,20,45,severe,2.0,,2.3
2025-09-01,Chennai,fog,33,0,high,1.5,,1.7
2025-09-01,Pune,extreme_heat,38,0,medium,1.2,,1.4
2025-09-01,Hyderabad,storm,38,0,high,1.5,,2.2
2025-09-01,Kolkata,clear,39,0,severe,2.0,,1.8
2025-09-02,Mumbai,fog,25,0,low,1.0,,1.3
2025-09-02,Delhi,extreme_heat,18,0,medium,1.2,,1.4
2025-09-02,Bangalore,heavy_rain,17,15,medium,1.2,,1.7
2025-09-02,Chennai,light_rain,43,5,high,1.5,,1.6
2025-09-02,Pune,extreme_heat,23,0,high,1.5,,1.6
2025-09-02,Hyderabad,cloudy,26,0,medium,1.2,,1.3
2025-09-02,Kolkata,light_rain,16,24,low,1.0,,1.2
2025-09-03,Mumbai,heavy_rain,43,26,severe,2.0,,2.3
2025-09-03,Delhi,heavy_rain,27,6,severe,2.0,,2.3
2025-09-03,Bangalore,extreme_heat,33,0,severe,2.0,,2.0
2025-09-03,Chennai,storm,17,0,medium,1.2,,2.0
2025-09-03,Pune,extreme_heat,25,0,low,1.0,,1.2
2025-09-03,Hyderabad,light_rain,43,24,low,1.0,strike,2.1
2025-09-03,Kolkata,cloudy,43,0,low,1.0,,1.1
2025-09-04,Mumbai,clear,34,0,high,1.5,,1.4
2025-09-04,Delhi,heavy_rain,35,10,low,1.0,,1.5
2025-09-04,Bangalore,fog,18,0,severe,2.0,,2.1
2025-09-04,Chennai,light_rain,28,44,medium,1.2,,1.4
2025-09-04,Pune,fog,24,0,high,1.5,,1.7
2025-09-04,Hyderabad,cloudy,32,0,low,1.0,political_rally,1.6
2025-09-04,Kolkata,extreme_heat,26,0,severe,2.0,,2.0
2025-09-05,Mumbai,clear,36,0,severe,2.0,exhibition,1.9
2025-09-05,Delhi,storm,15,0,severe,2.0,,2.6
2025-09-05,Bangalore,cloudy,17,0,medium,1.2,,1.3
2025-09-05,Chennai,heavy_rain,27,30,low,1.0,,1.5
2025-09-05,Pune,heavy_rain,27,11,high,1.5,political_rally,2.4
2025-09-05,Hyderabad,light_rain,29,2,severe,2.0,,2.0
2025-09-05,Kolkata,light_rain,22,17,severe,2.0,,2.0
2025-09-06,Mumbai,fog,37,0,low,1.0,,1.3
2025-09-06,Delhi,storm,40,0,low,1.0,road_construction,2.2
2025-09-06,Bangalore,fog,33,0,severe,2.0,,2.1
2025-09-06,Chennai,cloudy,41,0,low,1.0,,1.1
2025-09-06,Pune,fog,36,0,severe,2.0,,2.1
2025-09-06,Hyderabad,extreme_heat,22,0,severe,2.0,,2.0
2025-09-06,Kolkata,heavy_rain,37,2,high,1.5,exhibition,2.0
2025-09-07,Mumbai,fog,39,0,medium,1.2,,1.5
2025-09-07,Delhi,heavy_rain,20,13,medium,1.2,,1.7
2025-09-07,Bangalore,extreme_heat,28,0,medium,1.2,,1.4
2025-09-07,Chennai,clear,41,0,severe,2.0,,1.8
2025-09-07,Pune,storm,23,0,medium,1.2,,2.0
2025-09-07,Hyderabad,light_rain,27,35,low,1.0,political_rally,1.7
2025-09-07,Kolkata,light_rain,44,0,high,1.5,,1.6
2025-09-08,Mumbai,extreme_heat,19,0,severe,2.0,,2.0
2025-09-08,Delhi,cloudy,33,0,low,1.0,,1.1
2025-09-08,Bangalore,extreme_heat,42,0,low,1.0,,1.2
2025-09-08,Chennai,fog,23,0,high,1.5,,1.7
2025-09-08,Pune,heavy_rain,30,2,severe,2.0,,2.3
2025-09-08,Hyderabad,cloudy,34,0,high,1.5,,1.5
2025-09-08,Kolkata,fog,37,0,severe,2.0,road_construction,2.5
2025-09-09,Mumbai,cloudy,44,0,low,1.0,,1.1
2025-09-09,Delhi,light_rain,40,19,high,1.5,exhibition,1.7
2025-09-09,Bangalore,light_rain,42,44,high,1.5,,1.6
2025-09-09,Chennai,storm,22,0,low,1.0,,1.8
2025-09-09,Pune,cloudy,29,0,high,1.5,,1.5
2025-09-09,Hyderabad,extreme_heat,28,0,high,1.5,,1.6
2025-09-09,Kolkata,fog,21,0,low,1.0,,1.3
2025-09-10,Mumbai,extreme_heat,39,0,severe,2.0,,2.0
2025-09-10,Delhi,fog,31,0,high,1.5,,1.7
2025-09-10,Bangalore,extreme_heat,31,0,medium,1.2,concert,1.6
2025-09-10,Chennai,heavy_rain,31,36,medium,1.2,,1.7
2025-09-10,Pune,clear,41,0,medium,1.2,,1.2
2025-09-10,Hyderabad,cloudy,29,0,low,1.0,,1.1
2025-09-10,Kolkata,clear,23,0,high,1.5,,1.4
2025-09-11,Mumbai,light_rain,35,7,severe,2.0,,2.0
2025-09-11,Delhi,storm,30,0,low,1.0,,1.8
2025-09-11,Bangalore,fog,42,0,severe,2.0,,2.1
2025-09-11,Chennai,heavy_rain,41,16,high,1.5,,1.9
2025-09-11,Pune,storm,27,0,low,1.0,,1.8
2025-09-11,Hyderabad,clear,39,0,medium,1.2,,1.2
2025-09-11,Kolkata,cloudy,36,0,medium,1.2,,1.3
2025-09-12,Mumbai,cloudy,31,0,high,1.5,,1.5
2025-09-12,Delhi,clear,19,0,low,1.0,,1.0
2025-09-12,Bangalore,storm,15,0,medium,1.2,,2.0
2025-09-12,Chennai,cloudy,45,0,high,1.5,,1.5
2025-09-12,Pune,light_rain,27,22,high,1.5,,1.6
2025-09-12,Hyderabad,heavy_rain,24,43,high,1.5,,1.9
2025-09-12,Kolkata,fog,15,0,severe,2.0,,2.1
2025-09-13,Mumbai,fog,34,0,high,1.5,,1.7
2025-09-13,Delhi,fog,18,0,high,1.5,,1.7
2025-09-13,Bangalore,heavy_rain,23,40,low,1.0,,1.5
2025-09-13,Chennai,light_rain,37,41,high,1.5,,1.6
2025-09-13,Pune,light_rain,39,15,medium,1.2,,1.4
2025-09-13,Hyderabad,clear,36,0,severe,2.0,,1.8
2025-09-13,Kolkata,cloudy,24,0,low,1.0,,1.1
2025-09-14,Mumbai,light_rain,38,2,severe,2.0,,2.0
2025-09-14,Delhi,fog,37,0,medium,1.2,,1.5
