feedback_id,order_id,customer_id,feedback_date,delivery_rating,driver_rating,packaging_rating,overall_rating,comment,would_recommend,delivery_city
FB_40000,ORD_10412,CUST_6925,2025-09-18T08:09:44.854808,4.9,1.2,1.9,2.9,Terrible service,False,Chennai
FB_40001,ORD_10121,CUST_9074,2025-09-11T00:09:44.854817,2.8,4.4,2.8,3.3,Acceptable,False,Hyderabad
FB_40002,ORD_10810,CUST_9949,2025-09-25T15:09:44.854825,2.6,1.1,3.2,2.3,Unprofessional,False,Hyderabad
FB_40003,ORD_10349,CUST_7976,2025-09-16T02:09:44.854830,3.2,3.6,2.8,3.2,Average service,False,Kolkata
FB_40004,ORD_10733,CUST_7976,2025-09-18T04:09:44.854835,2.3,4.1,3.4,3.2,Acceptable,False,Chennai
FB_40005,ORD_10560,CUST_9276,2025-09-22T15:09:44.854841,4.0,1.9,2.4,2.9,Lost package,False,Hyderabad
FB_40006,ORD_10738,CUST_8352,2025-09-22T17:09:44.854846,4.6,3.0,4.3,4.0,Satisfactory,True,Bangalore
FB_40007,ORD_10844,CUST_6561,2025-09-06T12:09:44.854851,1.8,4.7,2.6,2.9,Rude driver,False,Bangalore
FB_40008,ORD_10790,CUST_8690,2025-09-22T05:09:44.854856,1.2,3.5,3.7,2.6,Package damaged,False,Hyderabad
FB_40009,ORD_10566,CUST_8545,2025-09-07T02:09:44.854862,1.5,3.0,3.1,2.5,Unprofessional,False,Chennai
FB_40010,ORD_10748,CUST_6051,2025-08-27T02:09:44.854869,4.1,4.6,3.8,4.2,Outstanding service!,True,Chennai
FB_40011,ORD_10428,CUST_9988,2025-09-03T23:09:44.854874,3.4,2.3,4.5,3.4,Acceptable,False,Kolkata
FB_40012,ORD_10141,CUST_8381,2025-09-18T10:09:44.854879,2.6,2.4,2.2,2.4,Unprofessional,False,Hyderabad
FB_40013,ORD_10321,CUST_9534,2025-08-27T19:09:44.854884,3.0,4.4,3.2,3.5,Acceptable,False,Delhi
