log_id,driver_id,vehicle_id,route_id,timestamp,location,status,fuel_level,speed_kmh,issue_reported
FL_20000,DRV_1037,VH_2010,RT_116,2025-08-30T16:04:44.853133,Delhi,idle,12.320213480757852,1.1888261784567078,
FL_20001,DRV_1028,VH_2024,RT_470,2025-09-03T19:17:44.853133,Pune,unloading,76.75462512587346,42.08684212782937,
FL_20002,DRV_1019,VH_2014,RT_758,2025-09-13T21:37:44.853133,Mumbai,accident,55.345482080723926,75.63325143760851,accident_minor
FL_20003,DRV_1004,VH_2028,RT_182,2025-08-28T10:03:44.853133,Bangalore,unloading,46.14555290613044,54.88779968497862,
FL_20004,DRV_1024,VH_2019,RT_643,2025-09-14T22:13:44.853133,Bangalore,loading,21.357242947455045,49.94539954249663,
FL_20005,DRV_1027,VH_2014,RT_333,2025-09-10T10:47:44.853133,Chennai,idle,48.7179393241261,63.44768744813169,
FL_20006,DRV_1023,VH_2004,RT_803,2025-09-06T08:34:44.853133,Chennai,loading,47.43906852353457,7.6068671420504685,
FL_20007,DRV_1008,VH_2017,RT_161,2025-08-28T21:02:44.853133,Pune,loading,17.682792159845746,34.55012148413922,
FL_20008,DRV_1046,VH_2001,RT_394,2025-09-26T11:44:44.853133,Pune,unloading,39.66813832745845,9.778502828364743,
FL_20009,DRV_1006,VH_2011,RT_965,2025-09-05T05:15:44.853133,Pune,idle,62.01266665508694,17.019104453760487,
FL_20010,DRV_1038,VH_2029,RT_773,2025-09-06T21:57:44.853133,Kolkata,active,35.07113912454993,18.092727546227792,
FL_20011,DRV_1022,VH_2000,RT_285,2025-09-18T02:10:44.853133,Kolkata,loading,26.237446476476897,56.215901829248374,
FL_20012,DRV_1005,VH_2023,RT_643,2025-08-31T12:51:44.853133,Delhi,active,46.0705909599564,11.349972332101492,
FL_20013,DRV_1003,VH_2004,RT_261,2025-09-08T07:38:44.853133,Kolkata,active,40.68063835923995,29.60424739816031,
FL_20014,DRV_1026,VH_2008,RT_320,2025-09-14T19:52:44.853133,Kolkata,unloading,17.342337477872185,35.44903794642608,
FL_20015,DRV_1033,VH_2021,RT_415,2025-09-11T21:31:44.853133,Mumbai,unloading,48.69222700581013,22.659717606435947,
FL_20016,DRV_1048,VH_2008,RT_396,2025-09-03T06:47:44.853133,Bangalore,idle,14.930376266627288,16.353849948298542,
FL_20017,DRV_1032,VH_2017,RT_953,2025-08-29T18:40:44.853133,Hyderabad,idle,77.2312711086791,14.055584150067384,
