order_id,client_id,warehouse_id,driver_id,pickup_location,delivery_location,order_date,delivery_date,status,priority,failure_reason,delay_minutes,customer_rating
ORD_10000,Client_I,WH_MUM_2,DRV_1037,Chennai,Mumbai,2025-09-15T21:10:44.852366,2025-09-19T01:10:44.852366,failed,low,security_issues,240,2.111001617001514
ORD_10001,Client_I,WH_CHE_1,DRV_1014,Chennai,Pune,2025-08-29T00:23:44.852366,2025-09-01T00:23:44.852366,processing,high,,0,
ORD_10002,Client_F,WH_MUM_2,DRV_1005,Chennai,Mumbai,2025-09-20T18:57:44.852366,2025-09-21T18:57:44.852366,delivered,high,,0,3.822970643161383
ORD_10003,Client_B,WH_CHE_1,DRV_1005,Pune,Bangalore,2025-09-23T05:47:44.852366,2025-09-25T05:47:44.852366,processing,high,,0,
ORD_10004,Client_B,WH_CHE_1,DRV_1017,Chennai,Hyderabad,2025-09-14T00:54:44.852366,2025-09-15T04:54:44.852366,delivered,high,,240,4.78297658152272
ORD_10005,Client_B,WH_PUN_2,DRV_1040,Delhi,Pune,2025-09-01T05:31:44.852366,2025-09-02T05:31:44.852366,processing,medium,,0,
ORD_10006,Client_D,WH_BAN_2,DRV_1049,Kolkata,Mumbai,2025-09-01T08:33:44.852366,2025-09-03T08:33:44.852366,processing,medium,,0,
ORD_10007,Client_H,WH_CHE_1,DRV_1041,Chennai,Delhi,2025-09-21T20:00:44.852366,2025-09-23T20:00:44.852366,returned,high,road_closure,0,1.472016821197717
ORD_10008,Client_J,WH_CHE_1,DRV_1023,Delhi,Delhi,2025-08-31T01:56:44.852366,2025-09-03T01:56:44.852366,in_transit,urgent,,0,
ORD_10009,Client_J,WH_MUM_2,DRV_1024,Chennai,Pune,2025-08-28T20:04:44.852366,2025-08-29T23:04:44.852366,in_transit,urgent,,180,
ORD_10010,Client_F,WH_MUM_2,DRV_1018,Chennai,Delhi,2025-09-12T02:44:44.852366,2025-09-13T02:44:44.852366,returned,urgent,traffic_jam,0,2.152898098986169
ORD_10011,Client_E,WH_PUN_1,DRV_1038,Delhi,Delhi,2025-08-27T18:05:44.852366,2025-08-30T21:05:44.852366,delivered,high,,180,4.80577785475515
ORD_10012,Client_A,WH_MUM_2,DRV_1023,Kolkata,Kolkata,2025-09-19T23:43:44.852366,2025-09-22T23:43:44.852366,in_transit,high,,0,
ORD_10013,Client_I,WH_DEL_1,DRV_1008,Hyderabad,Chennai,2025-09-02T19:24:44.852366,2025-09-05T19:24:44.852366,cancelled,medium,customer_unavailable,0,2.4669767405160012
ORD_10014,Client_D,WH_BAN_1,DRV_1025,Hyderabad,Hyderabad,2025-09-04T11:04:44.852366,2025-09-07T11:04:44.852366,processing,high,,0,
ORD_10015,Client_I,WH_DEL_2,DRV_1037,Delhi,Mumbai,2025-09-10T10:37:44.852366,2025-09-11T12:37:44.852366,processing,low,,120,
ORD_10016,Client_E,WH_CHE_2,DRV_1013,Pune,Delhi,2025-09-18T14:12:44.852366,2025-09-19T15:12:44.852366,delivered,urgent,,60,4.271234179712883
ORD_10017,Client_G,WH_CHE_1,DRV_1029,Kolkata,Hyderabad,2025-09-03T10:00:44.852366,2025-09-05T12:00:44.852366,in_transit,low,,120,
ORD_10018,Client_D,WH_PUN_1,DRV_1028,Delhi,Chennai,2025-09-17T14:50:44.852366,2025-09-18T20:50:44.852366,delivered,medium,,360,3.8729845008804284
ORD_10019,Client_B,WH_MUM_1,DRV_1041,Pune,Kolkata,2025-09-04T08:24:44.852366,2025-09-05T08:24:44.852366,processing,low,,0,
ORD_10020,Client_A,WH_DEL_1,DRV_1024,Mumbai,Chennai,2025-08-29T01:19:44.852366,2025-08-31T01:19:44.852366,in_transit,high,,0,
ORD_10021,Client_H,WH_DEL_1,DRV_1012,Bangalore,Delhi,2025-09-25T08:27:44.852366,2025-09-27T08:27:44.852366,processing,low,,0,
ORD_10022,Client_I,WH_DEL_1,DRV_1003,Pune,Mumbai,2025-09-14T17:43:44.852366,2025-09-15T17:43:44.852366,returned,medium,damaged_package,0,1.7542755743792704
ORD_10023,Client_D,WH_PUN_2,DRV_1038,Mumbai,Pune,2025-08-29T13:13:44.852366,2025-09-01T13:13:44.852366,processing,low,,0,
ORD_10024,Client_F,WH_DEL_2,DRV_1016,Chennai,Delhi,2025-09-09T15:46:44.852366,2025-09-12T15:46:44.852366,delivered,high,,0,4.5045889621547435
ORD_10025,Client_F,WH_MUM_2,DRV_1015,Bangalore,Bangalore,2025-09-10T05:08:44.852366,2025-09-11T07:08:44.852366,failed,medium,wrong_address,120,1.397800622125602
ORD_10026,Client_I,WH_MUM_1,DRV_1042,Kolkata,Pune,2025-09-10T11:54:44.852366,2025-09-12T11:54:44.852366,processing,high,,0,
ORD_10027,Client_J,WH_DEL_2,DRV_1045,Bangalore,Delhi,2025-09-25T15:15:44.852366,2025-09-26T17:15:44.852366,delivered,high,,120,3.9085223184722246
ORD_10028,Client_C,WH_BAN_1,DRV_1010,Hyderabad,Chennai,2025-09-12T09:25:44.852366,2025-09-13T16:25:44.852366,delivered,urgent,,420,3.5053185336316734
ORD_10029,Client_F,WH_PUN_2,DRV_1035,Delhi,Chennai,2025-09-12T18:16:44.852366,2025-09-13T18:16:44.852366,delivered,medium,,0,4.318385433808284
ORD_10030,Client_F,WH_PUN_1,DRV_1026,Pune,Hyderabad,2025-08-28T03:32:44.852366,2025-08-29T03:32:44.852366,delivered,medium,,0,4.5004001159533145
ORD_10031,Client_A,WH_DEL_1,DRV_1047,Bangalore,Kolkata,2025-09-25T02:04:44.852366,2025-09-26T02:04:44.852366,in_transit,urgent,,0,
ORD_10032,Client_B,WH_CHE_1,DRV_1002,Kolkata,Chennai,2025-09-21T16:04:44.852366,2025-09-24T16:04:44.852366,processing,medium,,0,
ORD_10033,Client_D,WH_CHE_1,DRV_1021,Bangalore,Kolkata,2025-09-02T08:31:44.852366,2025-09-04T08:31:44.852366,delivered,low,,0,3.5354966520521773
ORD_10034,Client_F,WH_MUM_1,DRV_1007,Bangalore,Delhi,2025-09-26T02:31:44.852366,2025-09-29T02:31:44.852366,processing,high,,0,
