log_id,warehouse_id,timestamp,operation_type,order_id,processing_time_minutes,staff_count,equipment_status,issue_reported
WL_30000,WH_CHE_2,2025-09-11T02:32:44.853749,sorting,ORD_10109,36,14,operational,
WL_30001,WH_CHE_2,2025-08-31T09:09:44.853749,loading,ORD_10342,47,12,optimal,
WL_30002,WH_DEL_1,2025-09-09T04:28:44.853749,sorting,ORD_10987,82,14,optimal,
WL_30003,WH_BAN_1,2025-09-08T10:27:44.853749,loading,ORD_10836,78,15,optimal,
WL_30004,WH_PUN_1,2025-09-21T12:32:44.853749,pickup,ORD_10027,77,6,operational,
WL_30005,WH_CHE_1,2025-09-26T14:54:44.853749,packing,ORD_10689,61,15,operational,
WL_30006,WH_CHE_1,2025-09-11T04:49:44.853749,sorting,ORD_10075,35,7,optimal,
WL_30007,WH_PUN_1,2025-09-10T15:46:44.853749,loading,ORD_10037,73,11,optimal,
WL_30008,WH_DEL_2,2025-09-21T11:53:44.853749,inventory,ORD_10673,81,13,operational,
WL_30009,WH_BAN_2,2025-09-17T11:19:44.853749,inventory,ORD_10988,10,12,optimal,
WL_30010,WH_CHE_2,2025-09-21T13:15:44.853749,pickup,ORD_10383,17,7,operational,
WL_30011,WH_CHE_2,2025-09-08T14:58:44.853749,inventory,ORD_10107,93,11,operational,
WL_30012,WH_BAN_2,2025-09-05T14:07:44.853749,pickup,ORD_10466,19,14,optimal,
WL_30013,WH_BAN_2,2025-09-21T06:42:44.853749,loading,ORD_10068,49,10,optimal,
WL_30014,WH_DEL_2,2025-09-05T02:00:44.853749,pickup,ORD_10528,7,8,operational,
WL_30015,WH_DEL_1,2025-09-01T05:30:44.853749,inventory,ORD_10190,59,10,optimal,
WL_30016,WH_PUN_2,2025-09-16T13:34:44.853749,pickup,ORD_10439,99,12,optimal,
WL_30017,WH_PUN_2,2025-09-08T00:54:44.853749,packing,ORD_10104,31,7,operational,
WL_30018,WH_PUN_1,2025-09-21T05:32:44.853749,sorting,ORD_10989,30,10,optimal,
WL_30019,WH_BAN_2,2025-09-16T10:47:44.853749,loading,ORD_10865,83,9,optimal,
WL_30020,WH_BAN_2,2025-09-10T06:01:44.853749,sorting,ORD_10120,83,12,operational,
WL_30021,WH_CHE_1,2025-09-03T09:16:44.853749,packing,ORD_10610,52,14,optimal,
WL_30022,WH_PUN_1,2025-08-31T12:36:44.853749,packing,ORD_10170,67,13,operational,
WL_30023,WH_MUM_1,2025-09-11T09:17:44.853749,packing,ORD_10496,45,10,optimal,
WL_30024,WH_CHE_2,2025-08-31T07:01:44.853749,loading,ORD_10425,76,11,optimal,
WL_30025,WH_MUM_1,2025-09-18T14:40:44.853749,packing,ORD_10281,30,12,malfunction,inventory_mismatch
WL_30026,WH_PUN_1,2025-09-03T09:19:44.853749,loading,ORD_10523,77,14,optimal,
WL_30027,WH_CHE_2,2025-08-30T03:26:44.853749,inventory,ORD_10559,110,8,operational,
WL_30028,WH_MUM_2,2025-09-02T13:15:44.853749,packing,ORD_10449,43,3,optimal,
WL_30029,WH_PUN_2,2025-09-23T03:58:44.853749,packing,ORD_10647,31,15,optimal,
WL_30030,WH_PUN_2,2025-09-09T05:48:44.853749,packing,ORD_10359,105,6,operational,
WL_30031,WH_BAN_1,2025-09-13T08:47:44.853749,inventory,ORD_10586,26,8,optimal,
WL_30032,WH_BAN_1,2025-09-04T17:06:44.853749,pickup,ORD_10887,22,15,operational,
WL_30033,WH_CHE_1,2025-09-16T04:53:44.853749,packing,ORD_10501,36,5,operational,
WL_30034,WH_PUN_1,2025-08-31T08:49:44.853749,loading,ORD_10767,106,10,malfunction,packaging_delay
WL_30035,WH_CHE_2,2025-09-04T11:38:44.853749,loading,ORD_10650,92,12,offline,equipment_malfunction
WL_30036,WH_DEL_2,2025-09-17T12:03:44.853749,pickup,ORD_10506,106,11,optimal,
WL_30037,WH_BAN_2,2025-09-04T11:02:44.853749,sorting,ORD_10915,48,11,optimal,
WL_30038,WH_MUM_2,2025-09-17T01:11:44.853749,pickup,ORD_10951,85,15,operational,
WL_30039,WH_BAN_1,2025-09-23T05:37:44.853749,loading,ORD_10162,5,9,operational,
WL_30040,WH_MUM_1,2025-09-23T08:14:44.853749,sorting,ORD_10405,37,4,operational,
WL_30041,WH_MUM_1,2025-09-16T09:55:44.853749,packing,ORD_10218,59,13,operational,
WL_30042,WH_MUM_1,2025-09-11T02:17:44.853749,inventory,ORD_10712,33,11,operational,
WL_30043,WH_CHE_1,2025-09-06T04:04:44.853749,loading,ORD_10091,93,5,operational,
WL_30044,WH_DEL_1,2025-09-19T03:15:44.853749,sorting,ORD_10070,52,7,operational,
WL_30045,WH_CHE_1,2025-09-12T00:48:44.853749,packing,ORD_10630,61,8,operational,
WL_30046,WH_PUN_2,2025-09-17T15:04:44.853749,packing,ORD_10747,16,4,operational,
WL_30047,WH_DEL_2,2025-09-08T11:36:44.853749,sorting,ORD_10566,106,5,operational,
WL_30048,WH_PUN_1,2025-09-15T09:58:44.853749,pickup,ORD_10621,113,13,operational,
WL_30049,WH_CHE_1,2025-09-12T06:56:44.853749,loading,ORD_10115,84,13,malfunction,packaging_delay
WL_30050,WH_BAN_2,2025-09-03T15:49:44.853749,inventory,ORD_10956,14,11,operational,
WL_30051,WH_CHE_2,2025-09-06T04:33:44.853749,inventory,ORD_10977,58,8,operational,
WL_30052,WH_MUM_1,2025-09-20T02:10:44.853749,inventory,ORD_10971,13,3,operational,
WL_30053,WH_CHE_1,2025-09-21T12:41:44.853749,sorting,ORD_10718,85,14,optimal,
WL_30054,WH_BAN_1,2025-09-08T02:49:44.853749,inventory,ORD_10080,73,12,operational,
WL_30055,WH_BAN_1,2025-09-12T07:00:44.853749,packing,ORD_10715,73,8,operational,
WL_30056,WH_BAN_1,2025-09-09T07:12:44.853749,packing,ORD_10682,16,9,operational,
WL_30057,WH_CHE_2,2025-09-19T05:16:44.853749,pickup,ORD_10975,95,5,operational,
WL_30058,WH_MUM_2,2025-09-07T16:42:44.853749,sorting,ORD_10789,26,8,optimal,
WL_30059,WH_MUM_2,2025-09-24T00:30:44.853749,loading,ORD_10508,78,11,offline,system_downtime
WL_30060,WH_BAN_1,2025-09-10T16:32:44.853749,pickup,ORD_10791,68,12,operational,
WL_30061,WH_DEL_2,2025-08-30T03:23:44.853749,inventory,ORD_10047,5,3,operational,
WL_30062,WH_DEL_2,2025-09-11T11:33:44.853749,packing,ORD_10329,27,3,optimal,
WL_30063,WH_PUN_1,2025-09-03T14:07:44.853749,sorting,ORD_10689,39,4,operational,
WL_30064,WH_MUM_2,2025-09-24T01:20:44.853749,packing,ORD_10898,107,11,optimal,
WL_30065,WH_BAN_2,2025-09-10T09:58:44.853749,sorting,ORD_10205,46,4,operational,
WL_30066,WH_DEL_2,2025-09-05T09:56:44.853749,inventory,ORD_10750,36,10,optimal,
WL_30067,WH_MUM_1,2025-09-24T07:18:44.853749,pickup,ORD_10973,57,3,optimal,
WL_30068,WH_DEL_2,2025-09-06T00:57:44.853749,loading,ORD_10542,113,14,operational,
WL_30069,WH_DEL_2,2025-09-03T13:40:44.853749,pickup,ORD_10918,23,14,operational,
WL_30070,WH_PUN_1,2025-09-23T16:35:44.853749,sorting,ORD_10136,63,14,operational,
WL_30071,WH_DEL_2,2025-09-16T12:13:44.853749,inventory,ORD_10298,77,3,operational,
WL_30072,WH_BAN_1,2025-09-04T11:08:44.853749,loading,ORD_10239,94,14,optimal,
WL_30073,WH_CHE_2,2025-08-29T06:17:44.853749,inventory,ORD_10321,18,5,optimal,
WL_30074,WH_BAN_1,2025-09-09T03:43:44.853749,sorting,ORD_10872,103,6,optimal,
